Case ID,Age,Breed,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Conventional Treatment,Natural Remedies,Outcome
15,1,German Shepherd,20,Skin allergies,Fungal susceptibility,Insulin,Low-sodium,Indoor,Wet,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Omega-3, Probiotics",Stable
16,14,Bulldog,28,Eye infections,Fungal susceptibility,None,Balanced,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Aloe vera gel, Probiotics, Turmeric, Coconut oil",Recovered
17,13,Beagle,24,Allergy to Penicillin,Dermatitis,Insulin,Balanced,Active,Humid,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Aloe vera gel, Sulphur, Calendula",Recovered
18,5,Dachshund,29,Allergy to Penicillin,Dermatitis,Insulin,Low-sodium,Outdoor,Wet,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Coconut oil, Calendula",Stable
19,13,Chihuahua,21,None,Fungal susceptibility,Heartworm Preventative,Hypoallergenic,Indoor,Dry,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Aloe vera gel, Coconut oil, Calendula",Improved
20,6,Chihuahua,34,Eye infections,None,Beta-blockers,Hypoallergenic,Active,Humid,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Calendula, Aloe vera gel, Probiotics",Stable
21,7,Cocker Spaniel,17,Eye infections,Dermatitis,Heartworm Preventative,Grain-free,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Aloe vera gel, Calendula, Sulphur, Coconut oil",Recovered
22,4,Dachshund,13,Skin allergies,Dermatitis,Insulin,Grain-free,Indoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Turmeric, Coconut oil, Calendula",Recovered
23,9,Poodle,33,Eye infections,Dermatitis,None,Balanced,Indoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Probiotics, Sulphur, Coconut oil",Improved
24,6,Chihuahua,27,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Hypoallergenic,Outdoor,Cold,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Lavender oil, Chamomile, Omega-3, Aloe vera gel",Improved
25,11,Beagle,35,Allergy to Penicillin,Fungal susceptibility,None,Hypoallergenic,Indoor,Cold,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Calendula, Sulphur, Coconut oil",Recovered
26,4,Chihuahua,5,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Low-sodium,Active,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Chamomile, Probiotics, Aloe vera gel",Improved
27,1,Chihuahua,21,Eye infections,Dermatitis,None,Low-sodium,Active,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Coconut oil, Aloe vera gel, Sulphur",Improved
28,12,Chihuahua,38,Allergy to Penicillin,None,None,Grain-free,Outdoor,Wet,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Probiotics, Calendula",Improved
29,14,Golden Retriever,7,Skin allergies,Dermatitis,Heartworm Preventative,Hypoallergenic,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Fluconazole,"Calendula, Probiotics, Coconut oil",Stable
30,8,Bulldog,35,Skin allergies,Fungal susceptibility,Insulin,High-protein,Active,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Coconut oil, Sulphur, Aloe vera gel, Probiotics",Recovered
31,12,Golden Retriever,6,Skin allergies,Fungal susceptibility,Insulin,Low-sodium,Active,Dry,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Chamomile, Aloe vera gel",Recovered
32,12,German Shepherd,11,None,Dermatitis,Heartworm Preventative,Low-sodium,Outdoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Chamomile, Lavender oil, Omega-3",Improved
33,14,German Shepherd,12,Allergy to Penicillin,None,Antihistamines,Hypoallergenic,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Turmeric, Calendula, Aloe vera gel, Probiotics",Improved
34,9,German Shepherd,34,None,Fungal susceptibility,None,Low-sodium,Active,Cold,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Tea tree oil, Coconut oil, Calendula, Probiotics",Recovered
35,11,German Shepherd,25,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Balanced,Outdoor,Dry,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Chamomile, Probiotics, Lavender oil",Stable
36,11,Beagle,18,Skin allergies,None,None,Low-sodium,Active,Cold,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Probiotics, Turmeric, Calendula",Recovered
37,5,Cocker Spaniel,39,Eye infections,Dermatitis,Insulin,High-protein,Indoor,Wet,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Probiotics, Omega-3",Improved
38,5,Beagle,7,Eye infections,None,Beta-blockers,Balanced,Outdoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Coconut oil, Probiotics, Calendula, Tea tree oil",Recovered
39,2,Cocker Spaniel,18,Skin allergies,None,Insulin,Hypoallergenic,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Calendula, Probiotics, Turmeric",Recovered
40,12,Beagle,18,Skin allergies,Dermatitis,Insulin,Balanced,Active,Temperate,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Probiotics, Turmeric, Coconut oil, Tea tree oil",Stable
41,7,Dachshund,34,Skin allergies,Dermatitis,Beta-blockers,High-protein,Indoor,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Probiotics, Chamomile, Omega-3, Lavender oil",Stable
42,4,Chihuahua,13,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Hypoallergenic,Outdoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Coconut oil, Sulphur, Aloe vera gel, Calendula",Recovered
43,5,Cocker Spaniel,36,None,None,Insulin,Hypoallergenic,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Lavender oil, Omega-3, Chamomile",Recovered
44,3,Dachshund,10,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Grain-free,Indoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Calendula, Aloe vera gel, Coconut oil",Stable
45,14,German Shepherd,5,Allergy to Penicillin,None,Insulin,Balanced,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Probiotics, Aloe vera gel, Turmeric, Coconut oil",Recovered
46,1,German Shepherd,27,Skin allergies,None,Insulin,Hypoallergenic,Outdoor,Cold,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Aloe vera gel, Probiotics, Coconut oil, Calendula",Improved
47,5,Labrador,18,Eye infections,Dermatitis,Beta-blockers,Low-sodium,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Coconut oil, Probiotics, Turmeric, Calendula",Recovered
48,3,Beagle,20,Skin allergies,Fungal susceptibility,Beta-blockers,Low-sodium,Active,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Calendula, Coconut oil, Probiotics",Stable
49,8,Golden Retriever,15,Eye infections,None,Heartworm Preventative,Low-sodium,Indoor,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Sulphur, Aloe vera gel, Coconut oil",Stable
50,2,Dachshund,12,None,Dermatitis,Antihistamines,Low-sodium,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Calendula, Probiotics, Coconut oil",Improved
51,5,Chihuahua,15,Eye infections,Dermatitis,Beta-blockers,Grain-free,Indoor,Cold,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Aloe vera gel, Turmeric",Improved
52,10,German Shepherd,11,None,Dermatitis,Beta-blockers,High-protein,Indoor,Dry,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Sulphur, Coconut oil, Probiotics",Improved
53,8,Labrador,16,None,None,Insulin,Balanced,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Probiotics, Turmeric, Aloe vera gel",Stable
54,1,Labrador,38,Skin allergies,Dermatitis,Heartworm Preventative,High-protein,Active,Dry,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Cephalexin,"Probiotics, Calendula, Turmeric",Recovered
55,10,Golden Retriever,25,Skin allergies,None,Insulin,Hypoallergenic,Active,Cold,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Itraconazole,"Calendula, Tea tree oil, Coconut oil, Probiotics",Stable
56,13,Poodle,11,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Low-sodium,Outdoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Aloe vera gel, Probiotics, Omega-3",Stable
57,15,Cocker Spaniel,5,Eye infections,Fungal susceptibility,Antihistamines,Grain-free,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Calendula, Probiotics, Aloe vera gel",Stable
58,3,Dachshund,40,Skin allergies,Dermatitis,Antihistamines,High-protein,Outdoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Coconut oil, Aloe vera gel",Recovered
59,5,Dachshund,18,Allergy to Penicillin,None,Heartworm Preventative,Low-sodium,Outdoor,Humid,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Coconut oil, Aloe vera gel, Turmeric",Stable
60,7,Golden Retriever,36,Eye infections,Fungal susceptibility,Antihistamines,Low-sodium,Indoor,Dry,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Calendula, Probiotics, Coconut oil, Sulphur",Improved
61,12,Labrador,26,Allergy to Penicillin,Dermatitis,Beta-blockers,High-protein,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Probiotics, Coconut oil, Aloe vera gel, Turmeric",Recovered
62,3,German Shepherd,7,Eye infections,None,Heartworm Preventative,Grain-free,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Probiotics, Calendula",Stable
63,1,German Shepherd,37,None,Dermatitis,Antihistamines,Balanced,Active,Humid,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Sulphur, Calendula, Coconut oil, Aloe vera gel",Recovered
64,14,Poodle,28,Allergy to Penicillin,Dermatitis,Heartworm Preventative,High-protein,Outdoor,Humid,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Calendula, Sulphur, Probiotics",Stable
65,9,Golden Retriever,30,Allergy to Penicillin,Fungal susceptibility,Insulin,High-protein,Active,Dry,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Itraconazole,"Calendula, Turmeric, Coconut oil, Tea tree oil",Recovered
66,7,Cocker Spaniel,29,None,Dermatitis,Beta-blockers,Hypoallergenic,Outdoor,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Aloe vera gel, Calendula, Coconut oil",Improved
67,15,Cocker Spaniel,23,Skin allergies,Fungal susceptibility,Antihistamines,Hypoallergenic,Indoor,Cold,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Turmeric, Coconut oil, Tea tree oil, Probiotics",Improved
68,14,Poodle,28,None,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Cold,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Turmeric, Probiotics, Coconut oil",Improved
69,5,Bulldog,32,Skin allergies,Dermatitis,Insulin,High-protein,Indoor,Humid,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Coconut oil, Sulphur, Probiotics",Recovered
70,13,Bulldog,10,None,None,None,Grain-free,Outdoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Calendula, Coconut oil",Stable
71,6,Golden Retriever,25,None,Fungal susceptibility,Insulin,Balanced,Active,Temperate,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Coconut oil, Calendula, Tea tree oil, Turmeric",Improved
72,12,Chihuahua,37,Skin allergies,Dermatitis,Insulin,Low-sodium,Outdoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Aloe vera gel, Coconut oil, Sulphur",Stable
73,13,Labrador,23,Eye infections,Fungal susceptibility,Antihistamines,High-protein,Outdoor,Dry,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Lavender oil, Omega-3, Probiotics, Aloe vera gel",Stable
74,8,Beagle,29,Eye infections,Fungal susceptibility,Beta-blockers,High-protein,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Chamomile, Lavender oil, Aloe vera gel, Probiotics",Stable
75,13,Poodle,15,Skin allergies,Dermatitis,None,Hypoallergenic,Active,Dry,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Aloe vera gel, Calendula, Sulphur, Coconut oil",Stable
76,9,Dachshund,18,None,Dermatitis,None,Hypoallergenic,Indoor,Humid,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Turmeric, Calendula, Aloe vera gel, Probiotics",Stable
77,14,Labrador,34,Eye infections,None,Beta-blockers,Low-sodium,Active,Temperate,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Lavender oil, Chamomile",Recovered
78,4,German Shepherd,40,Skin allergies,Fungal susceptibility,None,Low-sodium,Indoor,Cold,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Coconut oil, Sulphur, Aloe vera gel",Recovered
79,10,Poodle,12,Allergy to Penicillin,None,Beta-blockers,Balanced,Indoor,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Aloe vera gel, Sulphur, Coconut oil, Probiotics",Stable
80,15,Labrador,9,Eye infections,None,None,Low-sodium,Active,Dry,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Aloe vera gel, Sulphur, Coconut oil",Stable
81,14,Dachshund,40,None,Dermatitis,Heartworm Preventative,Low-sodium,Active,Dry,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Cephalexin,"Probiotics, Turmeric, Calendula",Improved
82,6,Golden Retriever,35,Skin allergies,Fungal susceptibility,Insulin,Low-sodium,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Calendula, Coconut oil, Sulphur, Probiotics",Recovered
83,8,Chihuahua,12,Allergy to Penicillin,None,None,Balanced,Indoor,Humid,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Calendula, Coconut oil, Probiotics",Recovered
84,3,Beagle,35,Allergy to Penicillin,Fungal susceptibility,Antihistamines,High-protein,Active,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Sulphur, Coconut oil, Calendula",Recovered
85,1,Golden Retriever,9,None,Dermatitis,Beta-blockers,High-protein,Outdoor,Cold,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Chamomile, Lavender oil, Aloe vera gel, Omega-3",Stable
86,5,Cocker Spaniel,5,Eye infections,Dermatitis,Beta-blockers,Low-sodium,Active,Dry,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Turmeric, Coconut oil, Calendula",Recovered
87,3,Beagle,24,Allergy to Penicillin,None,Heartworm Preventative,Balanced,Indoor,Cold,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Calendula, Probiotics, Turmeric, Aloe vera gel",Recovered
88,5,Cocker Spaniel,12,Skin allergies,Dermatitis,Antihistamines,Balanced,Active,Cold,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Tea tree oil, Turmeric, Probiotics, Coconut oil",Improved
89,8,Bulldog,8,Eye infections,None,Insulin,Low-sodium,Indoor,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Coconut oil, Aloe vera gel",Improved
90,4,Cocker Spaniel,20,Skin allergies,Dermatitis,Insulin,High-protein,Active,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Lavender oil, Aloe vera gel, Omega-3, Chamomile",Recovered
91,14,Cocker Spaniel,29,Allergy to Penicillin,Dermatitis,None,Hypoallergenic,Indoor,Dry,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Lavender oil, Omega-3, Probiotics, Chamomile",Improved
92,5,Bulldog,21,Allergy to Penicillin,None,None,Grain-free,Active,Humid,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Lavender oil, Omega-3, Aloe vera gel, Chamomile",Improved
93,5,Golden Retriever,25,Eye infections,None,None,High-protein,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Turmeric, Tea tree oil, Probiotics, Coconut oil",Stable
94,14,Bulldog,14,Eye infections,Dermatitis,Beta-blockers,High-protein,Outdoor,Cold,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Cephalexin,"Aloe vera gel, Calendula, Turmeric",Stable
95,10,Cocker Spaniel,11,None,None,Beta-blockers,Hypoallergenic,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Coconut oil, Calendula, Probiotics",Recovered
96,11,Dachshund,23,None,Dermatitis,None,High-protein,Active,Temperate,Not Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Aloe vera gel, Coconut oil, Sulphur, Probiotics",Stable
97,5,Beagle,12,Eye infections,Dermatitis,Antihistamines,Low-sodium,Indoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Cephalexin,"Probiotics, Coconut oil, Aloe vera gel",Recovered
98,13,Poodle,40,Eye infections,Dermatitis,Heartworm Preventative,Balanced,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Turmeric, Calendula",Recovered
99,15,Golden Retriever,24,Allergy to Penicillin,Fungal susceptibility,None,Hypoallergenic,Active,Temperate,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Coconut oil, Probiotics, Turmeric, Tea tree oil",Recovered
100,9,Poodle,8,Eye infections,Dermatitis,None,High-protein,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Tea tree oil, Probiotics, Calendula, Coconut oil",Stable
101,12,Labrador,6,Eye infections,Fungal susceptibility,Beta-blockers,Balanced,Outdoor,Cold,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Calendula, Turmeric, Probiotics, Tea tree oil",Stable
102,9,Golden Retriever,27,Eye infections,Fungal susceptibility,None,Balanced,Active,Dry,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Probiotics, Tea tree oil, Coconut oil",Improved
103,3,Beagle,38,Skin allergies,None,Heartworm Preventative,High-protein,Outdoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Lavender oil, Chamomile, Omega-3",Recovered
104,3,Chihuahua,11,Eye infections,None,Antihistamines,Low-sodium,Indoor,Cold,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Chamomile, Aloe vera gel, Lavender oil",Recovered
105,6,German Shepherd,32,Allergy to Penicillin,None,Antihistamines,Balanced,Active,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Calendula, Aloe vera gel, Sulphur",Recovered
106,6,Bulldog,37,Allergy to Penicillin,None,Insulin,High-protein,Outdoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Probiotics, Coconut oil, Turmeric",Improved
107,12,Beagle,21,None,Dermatitis,Antihistamines,Grain-free,Active,Dry,Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Calendula, Turmeric, Coconut oil",Recovered
108,15,Cocker Spaniel,5,Allergy to Penicillin,None,Antihistamines,High-protein,Active,Temperate,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Probiotics, Calendula, Sulphur",Recovered
109,2,Cocker Spaniel,21,Allergy to Penicillin,Fungal susceptibility,None,Grain-free,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Calendula, Aloe vera gel",Improved
110,5,Poodle,13,Skin allergies,Fungal susceptibility,Beta-blockers,Hypoallergenic,Active,Dry,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Sulphur, Probiotics, Calendula, Coconut oil",Improved
111,3,Labrador,27,None,Fungal susceptibility,Insulin,Hypoallergenic,Active,Wet,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Probiotics, Lavender oil, Chamomile",Recovered
112,5,Beagle,15,Eye infections,Dermatitis,Insulin,Grain-free,Outdoor,Cold,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Lavender oil, Chamomile, Probiotics",Recovered
113,10,Golden Retriever,21,None,None,Antihistamines,Hypoallergenic,Indoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Turmeric, Coconut oil, Aloe vera gel",Stable
114,10,Golden Retriever,33,None,None,None,Balanced,Active,Cold,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Calendula, Coconut oil, Probiotics",Stable
115,10,Beagle,5,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Hypoallergenic,Active,Humid,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Ketoconazole,"Probiotics, Turmeric, Calendula, Tea tree oil",Improved
