Case ID,Breed,Age,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Severity Score,Symptom Count,Previous Treatment,Previous Treatment Response,Treatments Tried Count,Drug Allergies,Drug Interaction Risk,Cost Category,Availability Status,Conventional Treatment,Natural Remedies,Outcome
38,Siberian Husky,10.7,37.0,Skin allergies,Fungal susceptibility,Insulin,Balanced,Active,Tropical,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,92,3,,,0,,Low,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
39,Boxer,11.7,5.6,Skin allergies,Dermatitis,,High-protein,Active,Cold,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,86,1,,,0,,High,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
40,Yorkshire Terrier,5.7,7.6,,Fungal susceptibility,Beta-blockers,Low-sodium,Indoor,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,91,8,Fluconazole,Failure,2,,Low,Moderate,Limited,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Improved
41,Yorkshire Terrier,13.0,31.9,,Dermatitis,,Hypoallergenic,Outdoor,Cold,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,16,4,,,0,,Medium,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
42,Golden Retriever,5.3,5.1,Eye infections,Dermatitis,Insulin,High-protein,Indoor,Temperate,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,21,4,,,0,,Medium,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
43,Border Collie,5.0,17.6,Skin allergies,Fungal susceptibility,Beta-blockers,High-protein,Outdoor,Humid,Up-to-date,Not Neutered,Single-pet,Staph Infection,Mild,86,9,Fluconazole,Partial,1,,Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
44,Yorkshire Terrier,11.1,32.6,Allergy to Penicillin,,Insulin,Low-sodium,Outdoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,99,4,Amoxicillin,Adverse Reaction,2,,High,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
45,Shih Tzu,13.4,24.7,Eye infections,Dermatitis,,Grain-free,Active,Wet,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,11,3,,,0,,Low,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
46,Beagle,2.2,36.2,Allergy to Penicillin,Fungal susceptibility,,Hypoallergenic,Active,Wet,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,40,5,,,0,,Medium,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
47,Golden Retriever,11.5,28.9,,,Beta-blockers,Balanced,Outdoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,82,3,,,0,Penicillin,Medium,Expensive,Out of Stock,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
48,Dachshund,11.7,25.7,Skin allergies,Dermatitis,Beta-blockers,Balanced,Outdoor,Cold,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,91,7,Cephalexin,Partial,2,,Low,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
49,Golden Retriever,8.1,22.5,Skin allergies,,Insulin,Hypoallergenic,Indoor,Wet,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Moderate,38,4,,,0,,High,Expensive,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
50,Rottweiler,0.9,7.2,,Dermatitis,Insulin,Balanced,Active,Cold,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,32,4,,,0,"Penicillin, Ketoconazole",Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
51,Golden Retriever,1.0,32.5,Allergy to Penicillin,Dermatitis,Beta-blockers,Balanced,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,60,1,Fluconazole,Partial,3,Penicillin,Low,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
52,Chihuahua,5.1,26.4,Skin allergies,Fungal susceptibility,Heartworm Preventative,Balanced,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,14,5,Ketoconazole,Adverse Reaction,1,,Medium,Expensive,Limited,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
53,German Shepherd,13.7,14.0,Allergy to Penicillin,Fungal susceptibility,,High-protein,Active,Humid,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,66,4,Fluconazole,Partial,3,,Low,Moderate,Backorder,Fluconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Recovered
54,Yorkshire Terrier,6.5,38.3,Allergy to Penicillin,,Heartworm Preventative,Low-sodium,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,80,4,,,0,,Low,Moderate,Out of Stock,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
55,German Shepherd,3.8,5.7,Skin allergies,,,Balanced,Indoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,43,1,Amoxicillin,Partial,3,Ketoconazole,High,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
56,Boxer,4.7,9.7,,Fungal susceptibility,Antihistamines,Hypoallergenic,Outdoor,Dry,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,97,2,,,0,,Low,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
57,Boxer,14.0,40.8,Skin allergies,Dermatitis,Antihistamines,Low-sodium,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,67,4,,,0,,Medium,Moderate,In Stock,Itraconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Improved
58,Beagle,9.7,43.8,Skin allergies,Dermatitis,Heartworm Preventative,High-protein,Indoor,Temperate,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Moderate,26,9,,,0,"Penicillin, Ketoconazole",High,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
59,Yorkshire Terrier,12.2,11.0,Allergy to Penicillin,Fungal susceptibility,,Hypoallergenic,Active,Cold,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,38,2,,,0,,Low,Moderate,Out of Stock,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Stable
60,Shih Tzu,13.4,27.9,,Fungal susceptibility,Beta-blockers,Balanced,Indoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Mild,28,10,Amoxicillin,Failure,3,,Medium,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
61,German Shepherd,12.2,45.0,Skin allergies,Dermatitis,Beta-blockers,Low-sodium,Active,Temperate,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,44,8,Itraconazole,Failure,2,,Medium,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
62,Rottweiler,5.1,7.3,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Balanced,Indoor,Humid,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,27,5,Itraconazole,Adverse Reaction,3,Penicillin,High,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
63,Cocker Spaniel,3.8,22.5,Skin allergies,,Insulin,Balanced,Outdoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,100,7,Cephalexin,Partial,2,Ketoconazole,High,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
64,Bulldog,12.4,43.3,Allergy to Penicillin,Fungal susceptibility,,High-protein,Outdoor,Dry,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,75,2,Fluconazole,Success,2,,Low,Affordable,Out of Stock,Ketoconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
65,German Shepherd,0.6,26.5,Eye infections,Fungal susceptibility,,Grain-free,Active,Humid,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,66,2,,,0,,Medium,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
66,Golden Retriever,6.6,12.7,Allergy to Penicillin,Dermatitis,,Balanced,Outdoor,Cold,Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,67,10,Ketoconazole,Failure,2,,Medium,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
67,Cocker Spaniel,2.2,18.2,Eye infections,,Heartworm Preventative,High-protein,Outdoor,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,62,6,Fluconazole,Failure,3,,High,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
68,Yorkshire Terrier,14.2,17.5,Eye infections,Dermatitis,,Low-sodium,Active,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,49,9,,,0,,Low,Expensive,In Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Improved
69,Cocker Spaniel,8.0,35.7,Skin allergies,,Beta-blockers,Hypoallergenic,Indoor,Tropical,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,29,2,Ketoconazole,Adverse Reaction,3,Penicillin,High,Affordable,Limited,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
70,Yorkshire Terrier,5.8,48.6,Eye infections,Fungal susceptibility,Insulin,Balanced,Outdoor,Cold,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Mild,78,4,,,0,Ketoconazole,Low,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
71,Cocker Spaniel,14.5,14.1,Allergy to Penicillin,,Heartworm Preventative,Low-sodium,Indoor,Cold,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,46,2,Cephalexin,Success,3,,Low,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
72,Chihuahua,7.7,16.4,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Grain-free,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,93,6,Itraconazole,Success,2,,High,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
73,Chihuahua,4.6,3.8,Skin allergies,,Heartworm Preventative,Low-sodium,Active,Wet,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Moderate,25,1,Itraconazole,Success,1,"Penicillin, Ketoconazole",High,Expensive,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
74,German Shepherd,9.3,26.1,Skin allergies,Dermatitis,,Low-sodium,Outdoor,Tropical,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,77,9,,,0,,High,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
75,Rottweiler,1.2,15.4,Allergy to Penicillin,Dermatitis,Beta-blockers,Balanced,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,15,6,,,0,,Low,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
76,Rottweiler,13.7,13.5,Eye infections,,,High-protein,Indoor,Cold,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Moderate,49,9,,,0,,Medium,Moderate,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
77,Beagle,2.6,25.5,,Fungal susceptibility,Beta-blockers,Hypoallergenic,Indoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Moderate,33,8,Fluconazole,Partial,3,,Low,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
78,Golden Retriever,14.8,13.6,Skin allergies,,,Hypoallergenic,Active,Cold,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,54,8,,,0,"Penicillin, Cephalexin",Medium,Moderate,In Stock,Fluconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Stable
79,Rottweiler,10.2,38.6,Allergy to Penicillin,Dermatitis,Antihistamines,Grain-free,Indoor,Tropical,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Mild,92,6,,,0,,Low,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
80,Dachshund,3.9,37.0,Skin allergies,Dermatitis,Insulin,Balanced,Active,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,24,1,Ketoconazole,Adverse Reaction,2,,High,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
81,Golden Retriever,5.8,32.4,Allergy to Penicillin,,,Grain-free,Indoor,Humid,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,100,2,Cephalexin,Success,2,,Medium,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
82,Poodle,9.7,27.7,Eye infections,,Insulin,Balanced,Outdoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,49,7,,,0,,High,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
83,Beagle,1.8,42.1,,Dermatitis,Insulin,Low-sodium,Outdoor,Tropical,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,76,3,Cephalexin,Adverse Reaction,3,Cephalexin,Low,Moderate,Out of Stock,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
84,Cocker Spaniel,5.2,11.0,Skin allergies,,Beta-blockers,Low-sodium,Active,Temperate,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,13,2,Ketoconazole,Success,1,"Penicillin, Ketoconazole",Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
85,Golden Retriever,1.1,30.4,Allergy to Penicillin,,Insulin,Hypoallergenic,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,69,4,Fluconazole,Partial,3,Cephalexin,Medium,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
86,Cocker Spaniel,10.3,2.8,,Dermatitis,Heartworm Preventative,High-protein,Indoor,Cold,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,47,7,Fluconazole,Partial,1,,Low,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
87,Dachshund,7.9,12.9,Skin allergies,Dermatitis,,Balanced,Outdoor,Wet,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,16,5,,,0,,High,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
88,Yorkshire Terrier,9.9,10.4,,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Cold,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,82,9,Ketoconazole,Partial,2,"Penicillin, Ketoconazole",High,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
